Joueur,Équipe,Matchs,Minutes,Buts,Passes décisives,xG,xA,MinsPerMatch,GoalsPerMatch
Tosin Adarabioyo,Chelsea,5,270,0,0,0.1668166071176529,0.01392056792974472,54,0.0
Aaron Ramsdale,Southampton,9,810,0,0,0,0,90,0.0
Diego Carlos,Aston Villa,8,648,0,0,0.9728685170412064,0,81,0.0
Ibrahim Sangare,Nottingham Forest,3,217,0,0,0.016365941613912582,0.008213658817112446,72,0.0
Boubacar Kamara,Aston Villa,6,256,0,0,0,0.10362128168344498,42,0.0
Youri Tielemans,Aston Villa,15,1309,0,4,1.2191651482135057,4.083247108384967,87,0.0
Kenny Tete,Fulham,14,1218,0,2,1.2920048143714666,0.5084680076688528,87,0.0
Richarlison,Tottenham,5,78,0,1,0.3241162896156311,0.6825265288352966,15,0.0
Philip Billing,Bournemouth,5,37,0,0,0.02941633015871048,0.9360461384057999,7,0.0
Jan Bednarek,Southampton,11,985,0,0,0.007854734547436237,0.24208732694387436,89,0.0
Charlie Taylor,Southampton,6,210,0,0,0,0.05513033643364906,35,0.0
Lewis Dunk,Brighton,11,904,0,0,0.4344187080860138,0.4903019182384014,82,0.0
Ederson,Manchester City,12,1080,0,1,0,0.20122335851192474,90,0.0
Phil Foden,Manchester City,10,615,0,1,1.2579729985445738,2.6711656227707863,61,0.0
Jacob Murphy,Newcastle United,12,651,0,4,1.2021472118794918,1.589077029377222,54,0.0
Victor Lindelöf,Manchester United,4,49,0,0,0,0.05152770131826401,12,0.0
Will Hughes,Crystal Palace,13,811,0,2,0.5070171877741814,1.167208580300212,62,0.0
Daichi Kamada,Crystal Palace,11,627,0,0,0.4982820674777031,0.5873613301664591,57,0.0
Timothy Castagne,Fulham,5,133,0,0,0.08018729835748672,0,26,0.0
Nélson Semedo,Wolverhampton Wanderers,12,1056,0,2,0.5584726096130908,0.9592505339533091,88,0.0
Pau Torres,Aston Villa,14,1260,0,0,0.2632361277937889,0.018877271562814713,90,0.0
Boubakary Soumare,Leicester,9,474,0,0,0.088823476806283,0.009648771956562996,52,0.0
Joachim Andersen,"Crystal Palace,Fulham",9,788,0,0,0.25243957806378603,0.10517191886901855,87,0.0
Hamza Choudhury,Leicester,1,11,0,0,0,0,11,0.0
Ben Johnson,Ipswich,7,488,0,1,0.03212675452232361,0.5162577740848064,69,0.0
Eddie Nketiah,Crystal Palace,10,508,0,0,0.9659855552017689,0.4737574830651283,50,0.0
Manuel Akanji,Manchester City,12,1010,0,0,0.2580723986029625,0.2826728895306587,84,0.0
Joe Willock,Newcastle United,12,442,0,1,0.5158929079771042,1.449927557259798,36,0.0
Konstantinos Mavropanos,West Ham,12,861,0,0,0.575341235846281,0.2651519179344177,71,0.0
Jean-Clair Todibo,West Ham,11,646,0,0,0.09884825348854065,0.02975625265389681,58,0.0
Ryan Sessegnon,Fulham,1,1,0,0,0,0,1,0.0
Willy Boly,Nottingham Forest,2,91,0,0,0.08295150846242905,0,45,0.0
Conor Coady,Leicester,4,274,0,0,0,0,68,0.0
Matz Sels,Nottingham Forest,15,1350,0,0,0,0,90,0.0
Robin Olsen,Aston Villa,1,39,0,0,0,0,39,0.0
Arijanet Muric,Ipswich,14,1260,0,0,0,0,90,0.0
Mark Flekken,Brentford,15,1350,0,1,0,0.32480117678642273,90,0.0
